OBJECTID,EACODE,SecTer_in_180,LISA_I_secter,LISA_CL_secter,LISA_P_secter,MORAN_STD_secter,MORAN_LAG_secter
279,30805014,1,0.055614778,0,0.261,-0.173621657,-0.320321664
280,30901155,1,0.03014448,0,0.438,-0.173621657,-0.173621657
281,30203081,0,0.185198256,0,0.172,-0.430346669,-0.430346669
282,20403021,0,0.185198256,2,0.006,-0.430346669,-0.430346669
283,20606067,1,0.03014448,0,0.49,-0.173621657,-0.173621657
284,30302004,2,0.006906168,0,0.372,0.083103356,0.083103356
285,30701007,1,0.03014448,0,0.484,-0.173621657,-0.173621657
286,20605018,0,0.129957879,0,0.335,-0.430346669,-0.301984163
287,20405019,3,0.090556908,0,0.239,0.339828368,0.266478364
288,20804022,1,0.049247203,0,0.352,-0.173621657,-0.283646662
289,30703005,0,0.148371338,0,0.232,-0.430346669,-0.344771665
290,30806056,0,0.185198256,2,0.007,-0.430346669,-0.430346669
291,20806020,0,0.163102105,0,0.167,-0.430346669,-0.379001667
292,31104031,1,0.03014448,0,0.413,-0.173621657,-0.173621657
293,30202032,1,0.03014448,0,0.435,-0.173621657,-0.173621657
294,20102008,0,0.185198256,2,0.015,-0.430346669,-0.430346669
295,20703801,1,0.03014448,0,0.437,-0.173621657,-0.173621657
296,20503009,0,0.136095698,0,0.228,-0.430346669,-0.316246664
297,30801020,1,0.063574246,0,0.237,-0.173621657,-0.366165416
298,20904035,0,0.185198256,2,0.032,-0.430346669,-0.430346669
299,20520702,1,0.03014448,0,0.495,-0.173621657,-0.173621657
300,30205002,0,0.185198256,2,0.043,-0.430346669,-0.430346669
301,31202021,0,0.185198256,2,0.018,-0.430346669,-0.430346669
302,30606003,0,0.129957879,0,0.331,-0.430346669,-0.301984163
303,10101020,2,-0.001627716,0,0.392,0.083103356,-0.019586649
304,20801065,0,0.185198256,0,0.094,-0.430346669,-0.430346669
305,20402053,1,0.03014448,0,0.411,-0.173621657,-0.173621657
306,30401040,2,0.006906168,0,0.397,0.083103356,0.083103356
307,30304025,2,0.006906168,0,0.36,0.083103356,0.083103356
308,20803079,0,0.185198256,2,0.028,-0.430346669,-0.430346669
309,20120722,1,0.03014448,0,0.439,-0.173621657,-0.173621657
310,20206008,0,0.185198256,2,0.028,-0.430346669,-0.430346669
311,30504019,0,0.185198256,2,0.01,-0.430346669,-0.430346669
312,30305006,0,0.185198256,2,0.04,-0.430346669,-0.430346669
313,30105007,1,0.052430991,0,0.467,-0.173621657,-0.301984163
314,20607034,0,0.143767973,0,0.193,-0.430346669,-0.33407479
315,30707040,1,0.049247203,0,0.335,-0.173621657,-0.283646662
316,30506017,1,0.007857969,0,0.49,-0.173621657,-0.045259151
317,30706007,1,0.002286341,0,0.443,-0.173621657,-0.013168524
318,20609032,14,7.572970135,1,0.001,3.163803505,2.393628468
319,30710014,1,0.041287735,0,0.496,-0.173621657,-0.23780291
320,20603110,2,0.006906168,0,0.322,0.083103356,0.083103356
321,30901080,0,0.185198256,0,0.084,-0.430346669,-0.430346669
322,30302094,0,0.185198256,2,0.024,-0.430346669,-0.430346669
323,30501044,3,0.327357822,1,0.029,0.339828368,0.963303398
324,30604023,0,0.185198256,2,0.047,-0.430346669,-0.430346669
325,30544002,11,5.729457241,1,0.001,2.393628468,2.393628468
326,30706012,1,0.03014448,0,0.477,-0.173621657,-0.173621657
327,31005008,1,0.03014448,0,0.449,-0.173621657,-0.173621657
328,10201017,1,0.03014448,0,0.438,-0.173621657,-0.173621657
329,30801110,0,0.106283432,0,0.395,-0.430346669,-0.24697166
330,31001084,1,0.03014448,0,0.382,-0.173621657,-0.173621657
331,10203031,0,0.129957879,0,0.41,-0.430346669,-0.301984163
332,30101001,0,0.185198256,0,0.165,-0.430346669,-0.430346669
333,20604068,1,0.03014448,0,0.488,-0.173621657,-0.173621657
334,30332005,2,0.006906168,0,0.381,0.083103356,0.083103356
335,20603019,0,0.185198256,2,0.044,-0.430346669,-0.430346669
336,30902054,0,0.185198256,2,0.028,-0.430346669,-0.430346669
337,30108027,0,0.185198256,2,0.047,-0.430346669,-0.430346669
338,30901005,0,0.185198256,2,0.025,-0.430346669,-0.430346669
